alg;init;mut;cross;repair;min_hv;avg_hv;median_hv;max_hv;std_hv
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_nrii;spc;brm;87989.13407897949;89950.59754562378;89940.13438415527;91075.84707641602;751.2858479126085
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_nrii;spc;rrm;86367.30508422852;88514.24781723022;88604.06140136719;90272.70082092285;990.3515650285706
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_wri;ac;brm;87644.24563598633;90708.44034194946;90871.08863830566;92678.88397216797;1114.2035769437948
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_wri;ac;rrm;87441.43673706055;89345.6817993164;89250.2195892334;93611.04344177246;1420.1636415946462
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc;brm;90082.86936950684;92029.35408477783;91965.59102630615;94078.92378234863;1250.1920185803099
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc;rrm;88715.0400390625;90935.88625946044;90826.9990158081;93566.17713928223;1331.0947999419745
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc_fuo;brm;88974.33268737793;91419.51445465088;90896.78588867188;94214.82722473145;1666.470333691023
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc_fuo;rrm;89063.51574707031;90904.90528564453;90595.42807006836;94864.38185119629;1413.869983449571
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_wri;spc;brm;86355.01486206055;88454.29625549316;88516.36022949219;89898.59864807129;938.0015263136269
nsgaii;sq_bpg;rbm_rcm_brm_bcpm_wri;spc;rrm;82493.98706054688;84100.22009048462;84062.58715820312;85920.9553527832;938.2886867679782
nsgaii;sq_bpg_50x50_tel_bgp_strict_ir;rbm_rcm_brm_bcpm_nrii;ac;brm;85686.05198669434;88590.12068557739;89060.92241668701;90829.82824707031;1331.074663818741
nsgaii;sq_bpg_50x50_tel_bgp_strict_ir;rbm_rcm_brm_bcpm_nrii;ac;rrm;86455.28323364258;88613.69667129517;88721.87092590332;90897.71025085449;937.292758664098
nsgaii;sq_bpg_50x50_tel_bgp_strict_ir;rbm_rcm_brm_bcpm_nrii;ppc;brm;87016.51438903809;89213.63821563721;89528.55494689941;91074.71858215332;1010.8469256883369
nsgaii;sq_bpg_50x50_tel_bgp_strict_ir;rbm_rcm_brm_bcpm_nrii;ppc;rrm;87101.7876586914;89735.19517974854;89635.34740447998;92195.83288574219;1346.1446121841432
nsgaii;sq_bpg_50x50_tel_bgp_strict_ir;rbm_rcm_brm_bcpm_nrii;ppc_fuo;brm;86731.03846740723;89473.35617904663;89676.60387420654;92008.34509277344;1247.1693537387878
nsgaii;sq_bpg_50x50_tel_bgp_strict_ir;rbm_rcm_brm_bcpm_nrii;ppc_fuo;rrm;87117.64862060547;89643.62740097046;89959.61863708496;92739.77375793457;1482.900412711592
nsgaii;sq_bpg_50x50_tel_bgp_strict_ir;rbm_rcm_brm_bcpm_nrii;spc;brm;85137.13980102539;86425.08271789551;86174.28958129883;89086.75590515137;982.650079246919
nsgaii;sq_bpg_50x50_tel_bgp_strict_ir;rbm_rcm_brm_bcpm_nrii;spc;rrm;84399.49444580078;85489.29432754517;85419.8277130127;86982.73991394043;774.2099707842834
nsgaii;sq_bpg_50x50_tel_bgp_strict_ir;rbm_rcm_brm_bcpm_wri;ac;brm;85613.27467346191;88543.98356323242;88496.36265563965;90547.43214416504;1185.7822720939869
nsgaii;sq_bpg_50x50_tel_bgp_strict_ir;rbm_rcm_brm_bcpm_wri;ac;rrm;85386.11277770996;87348.21004867554;87427.59841156006;89503.12426757812;1314.8011799620263
nsgaii;sq_bpg_50x50_tel_bgp_strict_ir;rbm_rcm_brm_bcpm_wri;ppc;brm;88079.97621154785;89658.60638504029;89544.45626068115;91901.33851623535;919.4262163894688
nsgaii;sq_bpg_50x50_tel_bgp_strict_ir;rbm_rcm_brm_bcpm_wri;ppc;rrm;86203.44812011719;89313.42335128784;89190.46411895752;92283.97575378418;1658.426634397224
nsgaii;sq_bpg_50x50_tel_bgp_strict_ir;rbm_rcm_brm_bcpm_wri;ppc_fuo;brm;86976.78616333008;89482.68840637206;89269.80471801758;92623.5756072998;1414.8600149977335
