filename,alg;init;mut;cross;repair;min_hv;avg_hv;median_hv;max_hv;std_hv
1728300766_nsgaii_tuned.txt,nsgaii;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc;brm;88258.92390441895;90129.27733154297;90180.13191223145;92389.57843017578;1074.107041302111
1728300766_nsgaii_tuned.txt,nsgaii;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc;rrm;90083.55401611328;92192.71046524048;92120.90832519531;94786.93952941895;1132.8423283321265
1728300766_nsgaii_tuned.txt,nsgaii;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc_fuo;brm;94788.92738342285;96877.45507125855;96791.10888671875;99099.45777893066;908.33214681748
1728300766_nsgaii_tuned.txt,nsgaii;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc_fuo;rrm;86376.31460571289;89992.7468208313;89647.7401046753;93506.85774230957;1736.882420364879
1728300766_nsgaii_tuned.txt,nsgaii;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc;brm;86364.24353027344;89425.41572723389;89361.69926452637;92750.2339630127;1933.5142646991933
1728300766_nsgaii_tuned.txt,nsgaii;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc;rrm;85921.23263549805;87982.97292404175;87952.22733306885;89818.5858001709;1188.203188630149
1728300766_nsgaii_tuned.txt,nsgaii;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc_fuo;brm;90171.04615783691;93358.29635086059;93752.90238189697;96239.1609954834;1591.0998542281075
1728300766_nsgaii_tuned.txt,nsgaii;sq_bpg;rbm_rcm_brm_bcpm_wri;ppc_fuo;rrm;84370.29319763184;86686.5609085083;86712.1580581665;89323.79679870605;1433.1768898778791
1728300766_nsgaii_tuned.txt,nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc;brm;98210.26234436035;99418.91929168701;99288.48155212402;100808.27055358887;754.1390682496917
1728300766_nsgaii_tuned.txt,nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc;rrm;95871.07409667969;98181.27476882935;98263.69454193115;99914.26721191406;881.6447865954182
