filename;alg;init;mut;cross;repair;min_hv;avg_hv;median_hv;max_hv;std_hv
1736640671_baseline,txt;moead;spg;rbm_rcm_brm_bcpm_wri;ac;brm;2377,9869709014893;2444,9811517715452;2442,424054145813;2496,0593433380127;34,29586311799116
1736640671_baseline,txt;moead;spg;rbm_rcm_brm_bcpm_wri;ac;rrm;2377,9869709014893;2444,9811517715452;2442,424054145813;2496,0593433380127;34,29586311799116
1736640671_baseline,txt;nsgaii;spg;rbm_rcm_brm_bcpm_wri;ac;brm;2321,4845581054688;2415,724312877655;2422,270275115967;2490,49808883667;40,9786236769923
1736640671_baseline,txt;nsgaii;spg;rbm_rcm_brm_bcpm_wri;ac;rrm;2321,4845581054688;2415,724312877655;2422,270275115967;2490,49808883667;40,9786236769923
moead_nt_combined,txt;moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;ac;brm;2388,0643520355225;2461,1934025764467;2464,6431427001953;2511,2729873657227;27,62050034823814
moead_nt_combined,txt;moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;ac;rrm;2377,5805225372314;2453,8225794792174;2454,2158126831055;2512,269090652466;32,55955381468589
moead_nt_combined,txt;moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;ppc;brm;2367,0880222320557;2465,0850657463075;2470,472617149353;2531,1047763824463;36,76315255189637
moead_nt_combined,txt;moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;ppc;rrm;2368,0573024749756;2458,542304325104;2469,495087623596;2531,804702758789;41,102611520164764
moead_nt_combined,txt;moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;ppc_fuo;brm;2388,757091522217;2447,6190856933595;2458,017331123352;2492,6310291290283;31,512184380493068
moead_nt_combined,txt;moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;ppc_fuo;rrm;2362,9569702148438;2444,451465702057;2453,043007850647;2500,49529838562;39,93398732377341
moead_nt_combined,txt;moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;spc;brm;2402,4713821411133;2459,943122768402;2463,439645767212;2491,6696758270264;22,161745437974364
moead_nt_combined,txt;moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_nrii;spc;rrm;2387,2090339660645;2453,4325214385985;2457,1460189819336;2492,1563301086426;26,631596305178917
moead_nt_combined,txt;moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;ac;brm;2363,6629371643066;2439,9124417304993;2451,264183998108;2483,911516189575;31,94624480043326
moead_nt_combined,txt;moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;ac;rrm;2401,6674766540527;2452,88468542099;2447,404709815979;2492,916986465454;26,852030836936247
moead_nt_combined,txt;moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;ppc;brm;2442,315647125244;2477,5255032539367;2470,011570930481;2526,251512527466;22,968301080257273
moead_nt_combined,txt;moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;ppc;rrm;2415,617425918579;2474,0677785873413;2469,6322717666626;2532,11643409729;27,72467735499053
moead_nt_combined,txt;moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;ppc_fuo;brm;2389,8254413604736;2451,455727386475;2465,6627922058105;2503,884267807007;36,12443499217599
moead_nt_combined,txt;moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;ppc_fuo;rrm;2380,3999977111816;2443,7079436302183;2453,396113395691;2501,2086639404297;38,46643999717239
moead_nt_combined,txt;moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;spc;brm;2408,4189987182617;2454,4136163711546;2448,3391160964966;2496,9245376586914;23,096691669025756
moead_nt_combined,txt;moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;spc;rrm;2407,8686714172363;2447,9784013748167;2446,9150371551514;2496,118139266968;25,469836395483853
moead_nt_combined,txt;moead;spg;rbm_rcm_brm_bcpm_nrii;ac;brm;2360,0325984954834;2444,862747001648;2447,4147176742554;2505,592876434326;36,1374596921318
moead_nt_combined,txt;moead;spg;rbm_rcm_brm_bcpm_nrii;ac;rrm;2389,2249298095703;2461,4335733413695;2467,4159440994263;2510,6445350646973;32,66478973566791
moead_nt_combined,txt;moead;spg;rbm_rcm_brm_bcpm_nrii;ppc;brm;2369,43292427063;2465,4465334892275;2470,604871749878;2532,132484436035;45,323719517019605
moead_nt_combined,txt;moead;spg;rbm_rcm_brm_bcpm_nrii;ppc;rrm;2367,259214401245;2453,7348194122314;2467,4917182922363;2504,954507827759;46,02964523255918
moead_nt_combined,txt;moead;spg;rbm_rcm_brm_bcpm_nrii;ppc_fuo;brm;2336,26944732666;2440,099582862854;2432,0716133117676;2528,1047554016113;50,77669589041503
moead_nt_combined,txt;moead;spg;rbm_rcm_brm_bcpm_nrii;ppc_fuo;rrm;2358,931257247925;2448,6086587905884;2465,469557762146;2518,675916671753;41,77979649786047
moead_nt_combined,txt;moead;spg;rbm_rcm_brm_bcpm_nrii;spc;brm;2386,1138439178467;2438,70274143219;2444,135694503784;2491,7987842559814;30,586991285245738
moead_nt_combined,txt;moead;spg;rbm_rcm_brm_bcpm_nrii;spc;rrm;2396,3512115478516;2455,6992456436155;2461,9723615646362;2513,290819168091;36,61691401063642
moead_nt_combined,txt;moead;spg;rbm_rcm_brm_bcpm_wri;ac;brm;2378,3685245513916;2443,5936799049377;2443,3835678100586;2501,1376037597656;32,12760286498455
moead_nt_combined,txt;moead;spg;rbm_rcm_brm_bcpm_wri;ac;rrm;2296,559787750244;2419,2192940711975;2434,1761178970337;2478,233766555786;43,16537387731153
moead_nt_combined,txt;moead;spg;rbm_rcm_brm_bcpm_wri;ppc;brm;2411,622184753418;2458,164610385895;2449,631993293762;2525,4208240509033;32,58932752089901
moead_nt_combined,txt;moead;spg;rbm_rcm_brm_bcpm_wri;ppc;rrm;2411,4834785461426;2464,1524872779846;2471,170090675354;2504,7249031066895;29,743599252374374
moead_nt_combined,txt;moead;spg;rbm_rcm_brm_bcpm_wri;ppc_fuo;brm;2371,3460731506348;2437,981430721283;2422,754388809204;2495,364549636841;38,26034863961175
moead_nt_combined,txt;moead;spg;rbm_rcm_brm_bcpm_wri;ppc_fuo;rrm;2344,3657207489014;2458,1862944602967;2463,791078567505;2506,8023262023926;42,05355024430257
