filename;alg;init;mut;cross;repair;n_pop;cxpb;mutpb;min_igd;avg_igd;median_igd;max_igd;std_igd
1737136140_fianl_tests;moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;ppc;rrm;100;50;50;0.5369350056650088;1.428062383753355;1.2348078441374706;2.935853538010891;0.6283213248210116
1737136140_fianl_tests;moead;spg;rbm_rcm_brm_bcpm_wri;ac;rrm;100;50;100;1.6483827579563615;2.781126666647638;2.6721879224072795;4.921755356540351;0.7420370057917766
1737136140_fianl_tests;moead;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc;rrm;100;50;50;0.9451415772217424;1.8450144619441347;1.6311799920939696;3.0951501480949046;0.7334415893581825
1737136140_fianl_tests;moead;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc;rrm;110;50;60;0.6591349207523272;1.6738297371680084;1.5888487099910076;2.695741779326605;0.5761657424691023
1737136140_fianl_tests;moead;tel_bpg_strict;rbm_rcm_brm_bcpm_nrii;ppc;rrm;100;50;50;0.618066314644587;1.9034279711107818;1.8016403033991932;4.741558420808565;0.9255187254067833
1737136140_fianl_tests;nsgaii;spg;rbm_rcm_brm_bcpm_wri;ac;rrm;100;50;100;10.38676603451581;15.482145620300281;14.316698355318511;21.363767012907328;3.422521837226313
1737136140_fianl_tests;nsgaii;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc;rrm;120;90;50;10.704934811741932;14.862632880657307;15.064848026161446;18.60524140233432;2.271546873650132
1737136140_fianl_tests;nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc;brm;300;100;10;3.908170152875951;7.584073989825225;6.760927617039487;14.766060468585142;2.9057073095700705
1737136140_fianl_tests;nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc;rrm;100;50;50;13.65058419843679;21.20395794807169;21.47799526720516;27.35775830741756;2.9899361745441935
1737136140_fianl_tests;nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc_fuo;brm;340;100;10;2.740766071417018;6.288684124702938;5.920411009251736;9.283035097110961;1.9402496103220384
