filename;alg;init;mut;cross;repair;n_pop;cxpb;mutpb;min_igd;avg_igd;median_igd;max_igd;std_igd
1737136140_fianl_tests;moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;ppc;rrm;100;50;50;19.965789363242575;29.763533553718588;28.844287893094297;40.97151445166141;5.284187203794979
1737136140_fianl_tests;moead;spg;rbm_rcm_brm_bcpm_wri;ac;rrm;100;50;100;31.225747874375937;36.45349909885859;36.00357447539639;44.56281791215313;3.6976052848277865
1737136140_fianl_tests;moead;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc;rrm;100;50;50;18.874993841851172;30.053852286366595;31.31401082511612;40.250852086040126;5.409219962657691
1737136140_fianl_tests;moead;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc;rrm;110;50;60;20.360213672100645;29.77539753635718;28.6371455259151;43.91476771940392;6.358201477446623
1737136140_fianl_tests;moead;tel_bpg_strict;rbm_rcm_brm_bcpm_nrii;ppc;rrm;100;50;50;25.678746862177718;33.691791123723405;33.29776866780145;46.86290886011369;6.147397940424798
1737136140_fianl_tests;nsgaii;spg;rbm_rcm_brm_bcpm_wri;ac;rrm;100;50;100;138.02281603640563;158.17900896396446;154.19713205344559;179.0782186410619;10.300347664566411
1737136140_fianl_tests;nsgaii;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc;rrm;120;90;50;139.02704698701865;166.11092601092736;163.22348402350738;191.25724998031427;12.354940568861277
1737136140_fianl_tests;nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc;brm;300;100;10;39.22337721878796;50.00145217749623;49.177154026482924;71.91312634518093;7.919232378209526
1737136140_fianl_tests;nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc;rrm;100;50;50;150.5470109722723;180.91474049183157;184.6069736274746;202.94453558063634;12.919877737050468
1737136140_fianl_tests;nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc_fuo;brm;340;100;10;28.711736092757345;44.97997087202204;44.479586258054084;64.24746759292954;8.126690052812132
