filename;alg;init;mut;cross;repair;n_pop;cxpb;mutpb;min_igd;avg_igd;median_igd;max_igd;std_igd
1737136140_fianl_tests;moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;ppc;rrm;100;50;50;0.7153274683668828;1.536907619513763;1.5108458676026655;2.8823311378407483;0.5992546814373519
1737136140_fianl_tests;moead;spg;rbm_rcm_brm_bcpm_wri;ac;rrm;100;50;100;1.9749103844132054;2.9471066284102476;2.9767734771420806;4.271806876664565;0.5649276188161224
1737136140_fianl_tests;moead;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc;rrm;100;50;50;1.3047236358650205;2.058550722597838;1.9544712069942758;3.8048055537388015;0.5749796586476551
1737136140_fianl_tests;moead;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc;rrm;110;50;60;1.237621029948336;2.0930891240888014;2.1200097019901016;2.7764835917337125;0.5241719092831779
1737136140_fianl_tests;moead;tel_bpg_strict;rbm_rcm_brm_bcpm_nrii;ppc;rrm;100;50;50;0.7709143577582145;1.856435194940746;1.7673506774947083;3.2518251082282945;0.6256586300690303
1737136140_fianl_tests;nsgaii;spg;rbm_rcm_brm_bcpm_wri;ac;rrm;100;50;100;7.686006564596895;16.452852484017022;15.829724813847395;32.40954156476552;5.855906445429547
1737136140_fianl_tests;nsgaii;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc;rrm;120;90;50;9.029071184952164;14.168504338620266;14.12070127268007;20.557808534473082;3.017819371089737
1737136140_fianl_tests;nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc;brm;300;100;10;2.5611712974878187;5.986959327911132;6.078694548281572;11.14118659160399;2.2862085070739666
1737136140_fianl_tests;nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc;rrm;100;50;50;13.805889745031537;21.319251483819144;22.34125422914728;25.89365266051267;3.1033086899284283
1737136140_fianl_tests;nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc_fuo;brm;340;100;10;4.112490631779559;7.636178453970851;7.4503621874828765;12.364423602635764;2.144512634061354
