filename;alg;init;mut;cross;repair;n_pop;cxpb;mutpb;min_igd;avg_igd;median_igd;max_igd;std_igd
1737136140_fianl_tests;moead;bpg_sq_tel_pp;rbm_rcm_brm_bcpm_wri;ppc;rrm;100;50;50;4.816636294343028;7.154848080456321;7.273093369991669;10.781445653447816;1.571603327473597
1737136140_fianl_tests;moead;spg;rbm_rcm_brm_bcpm_wri;ac;rrm;100;50;100;5.520029364482348;8.73525990910984;8.458002258993867;13.84791448949406;2.3248641524732334
1737136140_fianl_tests;moead;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc;rrm;100;50;50;1.4355347771670268;2.4473180909874657;2.2344572622496006;4.461858040712298;0.8351769152069637
1737136140_fianl_tests;moead;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc;rrm;110;50;60;1.29039630232726;2.2136967368162406;2.178463357297401;3.4236827164581034;0.5410817498162062
1737136140_fianl_tests;moead;tel_bpg_strict;rbm_rcm_brm_bcpm_nrii;ppc;rrm;100;50;50;4.450589961220163;9.213274835886022;9.64652365892848;12.758443680857798;2.2978693875673857
1737136140_fianl_tests;nsgaii;spg;rbm_rcm_brm_bcpm_wri;ac;rrm;100;50;100;11.238456893915401;17.383727178321955;16.43070422267412;32.21206769055713;5.023415847367827
1737136140_fianl_tests;nsgaii;sq_bpg;rbm_rcm_brm_bcpm_nrii;ppc;rrm;120;90;50;3.9644122159927195;13.210518162702646;12.414071999999422;23.960689133740704;5.757238792878437
1737136140_fianl_tests;nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc;brm;300;100;10;1.0304418726216904;2.1131335298206904;1.8581253332381202;3.8594655178232418;0.8083021361297251
1737136140_fianl_tests;nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_nrii;ppc;rrm;100;50;50;2.0740451911957667;6.783871034341564;6.245379047937904;13.227679837964201;3.2957708779573496
1737136140_fianl_tests;nsgaii;sq_bpg_50x50_tel_bgp_strict_pr;rbm_rcm_brm_bcpm_wri;ppc_fuo;brm;340;100;10;0.6069200220982172;1.2477807893315598;1.135816447015045;2.444643339603597;0.5174056431786718
